movie,address,notes,lat,lng
The Shawshank Redemption (1994),Mansfield Reformatory - 100 Reformatory Road; Mansfield; Ohio; USA,(The prison that is used in the large panning scene; and used for the wardens office.)                       ,40.784215,-82.502481
The Shawshank Redemption (1994),Butler; Ohio; USA,"(rural town of ""Buxton"" where ""Red"" journeys to; shot of bus leaving with ""Red"" near end of film)                       ",40.58839329999999,-82.4248862
The Shawshank Redemption (1994),Mansfield; Ohio; USA,,40.75839000000001,-82.51544709999997
The Shawshank Redemption (1994),Upper Sandusky; Ohio; USA,(Mill and Courtroom)                       ,40.8272785,-83.2813089
The Shawshank Redemption (1994),Ashland; Ohio; USA,(Bank and bus station)                       ,40.8686675,-82.3182178
The Shawshank Redemption (1994),Yuma; Arizona; USA,,32.6926512,-114.6276916
The Shawshank Redemption (1994),Rod Bay; St Croix; USVI,(Andy driving)                       ,17.7335872,-64.6147626
The Shawshank Redemption (1994),U.S. Virgin Islands,(final scene)                       ,18.335765,-64.896335
The Shawshank Redemption (1994),St. Croix; U.S. Virgin Islands,(End Beach Scene)                       ,17.7245968,-64.8347992
The Shawshank Redemption (1994),Malabar Farm State Park - 4050 Bromfield Road; Lucas; Ohio; USA,(cabin at beginning; tree and rock wall)                       ,40.6522927,-82.3991118
The Shawshank Redemption (1994),Wyandot County Courthouse; Upper Sandusky; Ohio; USA,,40.8271292,-83.2807813
The Shawshank Redemption (1994),193 North Main Street; Mansfield; Ohio; USA,(Brewer Hotel)                       ,40.7636748,-82.51549720000001
The Shawshank Redemption (1994),Snyder Road and Hagerman Road; Bellville; Ohio; USA,(Road to Buxton)                       ,40.6164468,-82.42902070000002
The Godfather (1972),110 Longfellow Road; Staten Island; New York City; New York; USA,(Corleone mansion)                       ,40.6065138,-74.097866
The Godfather (1972),Mitchell Field; Garden City; Long Island; New York; USA,(Tollbooth scene)                       ,40.728918,-73.60158299999998
The Godfather (1972),Savoca; Sicily; Italy,(bar sequence) (Michael and Apollonia's wedding church)                       ,37.9557579,15.3396302
The Godfather (1972),3531 White Plains Road; Bronx; New York City; New York; USA,(Italian restaurant)                       ,40.8783885,-73.8664441
The Godfather (1972),1 Allen Ave; Ross; California; USA,(Kay Adams' school.)                       ,37.9617825,-122.5588257
The Godfather (1972),Mott Street; Manhattan; New York City; New York; USA,(Genco Olive Oil Co)                       ,40.71904650000001,-73.99648409999998
The Godfather (1972),5th Avenue; Manhattan; New York City; New York; USA,(Best & Co. Store)                       ,40.7744146,-73.9656177
