address,description,lat,lng
Afognak; Alaska ,Afognak (/əˈfɒɡnæk/; also Ag'waneq[1]  in Alutiiq) was an Alutiiq village on the island of Afognak in Kodiak Island Borough; Alaska; United States. It was located on Afognak Bay on the southwest coast of the island; three miles north of Kodiak Island.[2],58.00777778,-152.7680556
Cape York; Alaska ,,65.415,-167.4636111
Chena; Alaska ,Chena was a small town in interior Alaska near the confluence of the Chena and Tanana rivers whose heyday was in the first two decades of the 20th century; with a peak population of about 400 in 1907. By 1910 the population had fallen to 138.[1],64.79555556,-147.9516667
Chisana; Alaska ,'Chisana (also Shushanna) (Tsetsaan' Na in Ahtna) is a ghost town abandoned and a  census-designated place (CDP) in the Valdez-Cordova Census Area in the U.S. state of Alaska. As of the 2010 Census;[3] the population of the CDP was 0. The English name Chisana derives from the Ahtna Athabascan name Tsetsaan' Na'; meaning literally 'copper river' (not to be confused with the river known in English as the Copper River). The Chisana River joins the Nabesna River just north of Northway Junction; Alaska; to form the Tanana River; a major tributary of the Yukon River.[4] The Chisana Airport consists of a turf and gravel runway which is largely serviced by flights from Tok; Alaska.,62.06611111,-142.0408333
Council; Alaska ,Council (Inupiaq: Kaułiq or Akauchak) is an abandoned townsite in the Nome Census Area in the U.S. state of Alaska. It has a population of zero as of the 2000 and 2010 U.S. Censuses.,64.895,-163.6763889
Curry; Alaska ,Curry is a ghost town in Matanuska-Susitna Borough; Alaska; United States.  It was also known as Dead Horse (not to be confused with the community near the Arctic Ocean). Its post office was founded with that name as well.[1],62.61472222,-150.0119444
Dickson; Alaska ,Dickson was a settlement in the U.S. state of Alaska. Situated in the Nome Census Area on the Seward Peninsula; it was located directly opposite Solomon; on the east bank of the Solomon River.  It was the coastal terminus of the Council City and Solomon River Railroad. All of its industries and inhabitants were connected with the railroad. Established in 1903; it was named for T. Warren Dickson; general manager of the Western Alaska Construction Company; which built the railroad.[1] By 1910; its population was approximately 50 residents.[2],64.55555556,-164.41472219999997
Dyea; Alaska ,Dyea (/daɪˈiː/ dye-EE) is a former town in the U.S. state of Alaska.  A few people live on individual small homesteads in the valley; however; it is largely abandoned.  It is located at the convergence of the Taiya River and Taiya Inlet on the south side of the Chilkoot Pass within the limits of the Municipality of Skagway Borough; Alaska.  During the Klondike Gold Rush prospectors disembarked at its port and used the Chilkoot Trail; a Tlingit trade route over the Coast Mountains; to begin their journey to the gold fields around Dawson City; Yukon; about 800 km (500 mi) away. Confidence man and crime boss Soapy Smith; famous for his underworld control of the neighboring town of Skagway in 1897–98 is believed to have had control of Dyea as well.[1],59.50444444,-135.36
Flat; Alaska ,Flat is a census-designated place (CDP) in Yukon-Koyukuk Census Area; Alaska; United States.  As of the 2010 Census; the population of the CDP was 0; down from 4 residents in 2000. Its post office closed in January 2004.[1],62.45416667,-158.0083333
Gilmore; Alaska ,,55.342339,-131.6478289
Iditarod; Alaska ,Iditarod is an abandoned town in the Yukon-Koyukuk Census Area in the U.S. state of Alaska. It is presently located within the boundaries of the Flat Census Designated Place; which has no residents as of 2010.,62.54444444,-158.09527780000002
Independence Mines ,"The Independence Mines; now Independence Mine State Historic Park; is the site of a former gold mining operation in the Talkeetna Mountains; across Hatcher Pass from Palmer; Alaska.  The area's mining history dates to at least 1897; when active claims were reported in the vicinity of Fishook Creek.  These early mining efforts were eventually joined to form the Wasilla Mining Company; which worked the mines from 1934 to 1943; and again from 1948 to 1950.  The mining operation at Independence was the second-largest hard-rock gold mining operation in the state; after a larger site near Juneau.  The company and the miners that preceded it built a substantial mining camp; with as many as sixteen wood frame buildings; which were originally connected to each other by sheltered wooden ""tunnels"".  When the company ended operations in 1950; it had expected to eventually resume operations; but never did; this resulted in a particularly well-preserved collection of mining equipment and buildings; although the weather has since taken a significant toll on the latter.[2]",61.79027778,-149.28472219999998
Kalakaket; Alaska ,,64.4134369,-156.8984858
Katalla; Alaska ,Katalla (pronounced KA-tell-ah) is a ghost town in the Valdez-Cordova Census Area in the U.S. state of Alaska; 76 km (47 mi) southeast of Cordova.  The name of this town was sometimes spelled Catalla. It is now abandoned.,60.195,-144.5211111
Kennecott; Alaska ,Kennecott; also known as Kennicott and Kennecott Mines; is an abandoned mining camp in the Valdez-Cordova Census Area in the U.S. state of Alaska that was the center of activity for several copper mines.[3] It is located beside the Kennicott Glacier; northeast of Valdez; inside Wrangell-St. Elias National Park and Preserve. The camp and mines are now a National Historic Landmark District administered by the National Park Service.,61.51916667,-142.8413889
