state,location_Title,note,lat,lng
California,The Abbey; Joaquin Miller House,"Joaquin Miller; known as the ""Poet of the Sierras""; lived here from 1886 until his death in 1913.",37.8125,-122.1855556
California,The Ahwahnee,National Park Service-built and operated hotel in Yosemite National Park; designed by Gilbert Stanley Underwood; exemplifies National Park Service Rustic architecture.,37.74583333,-119.5741667
California,Alcatraz Island,Former maximum security Federal prison; Frank Morris escaped; but few others did; part of Golden Gate National Recreation Area; visited by tourist ferries.,37.82638889,-122.4225
California,Alma (scow schooner),Flat-bottomed scow schooner that was built in 1891 and used in San Francisco Bay and Sacramento-San Joaquin River Delta. Now part of the San Francisco Maritime National Historical Park. Official plaque located in the San Francisco Maritime National Historical Park Visitor Center; located at the corner of Hyde and Jefferson Streets.,37.80777778,-122.4208333
California,Angelus Temple,Church built by and for Aimee Semple McPherson; evangelical sensation of the 1920s and 1930s.,34.07638889,-118.2613889
California,Juan de Anza House,"One-story adobe house typical of Mexican era; later ""Americanized""; also in typical way.",36.84361111,-121.5352778
California,Aquatic Park Historic District,Streamline Moderne beach; pier; and public bathhouse built by the WPA in 1936. Official plaque located in the San Francisco Maritime National Historical Park Visitor Center; located at the corner of Hyde and Jefferson Streets.,37.80638889,-122.4236111
California,Asilomar Conference Grounds,Arts and Crafts style conference center built for the YWCA by Julia Morgan in 1913.,36.61972222,-121.9313889
California,Balboa Park,1;200 acre (4.9 km²) urban cultural complex in San Diego. Reserved in 1855; it is one of the oldest public recreation sites in the US. It includes open areas and vegetation as well as museums; theaters; gardens; shops; restaurants and the San Diego Zoo.,32.73138889,-117.1452778
California,Balclutha (square-rigger),The only remaining square rigged ship in the San Francisco Bay area; it was built in 1886 and served on several different trade routes. It is now part of the San Francisco Maritime National Historical Park. Official plaque located in the San Francisco Maritime National Historical Park Visitor Center; located at the corner of Hyde and Jefferson Streets.,37.81,-122.4225
California,Baldwin Hills Village,Now known as Village Green; this 627 unit condo complex was one of the first new planned communities when it was built between 1935 and 1942.,34.01972222,-118.3608333
California,Hubert H. Bancroft Ranch House,Adobe home of historian and ethnologist Hubert Howe Bancroft; publisher of many Pacific Coast histories and books on Native American culture.,32.74555556,-117.0019444
California,Bank of Italy Building,Became the headquarters of Bank of Italy in 1908 (precursor of the Bank of America); also known as the Clay-Montgomery Building.,37.79444444,-122.4030556
California,Aline Barnsdall Complex (Hollyhock House),Hollyhock House; a building designed by Frank Lloyd Wright and built in 1919–1921 for Aline Barnsdall. Now the centerpiece of the Barnsdall Art Park.,34.1,-118.2947222
California,Berkeley (ferry),"First propeller-driven ferry on the west coast; currently the main ""building"" of the Maritime Museum of San Diego.",32.71694444,-117.1725
California,Big Four House,Built in 1852; house where Collis Huntington; Mark Hopkins; Leland Stanford; and Charles Crocker organized the Central Pacific railway and founded the Southern Pacific Railroad.,38.58277778,-121.5033333
California,Bodie Historic District,Established in 1859; it became a Gold Rush boomtown in 1876. It is currently a State park preserved in arrested decay; neither restored nor destroyed. It is one of very few towns of this type to survive untouched.,38.21222222,-119.0122222
California,Bradbury Building,1893 Italian Renaissance architectural landmark. Known for its striking interiors and cage elevators. It has been used extensively as a location in films such as Blade Runner.,34.05083333,-118.2480556
California,Luther Burbank House and Garden,City park containing the former home; greenhouse; gardens; and grave of noted American horticulturist Luther Burbank.,38.43611111,-122.7122222
California,C.A. Thayer (schooner),Schooner built in 1895; now preserved at the San Francisco Maritime National Historical Park; worked in lumber trade to San Francisco from Washington; Oregon; and Northern California. Official plaque located in the San Francisco Maritime National Historical Park Visitor Center; located at the corner of Hyde and Jefferson Streets.,37.80777778,-122.4211111
California,California Powder Works Bridge,,37.01055556,-122.0438889
California,Carmel Mission,The second Roman Catholic California Mission Church; this was the headquarters of the padre presidente; Father Fermin Francisco de Lasuen. It was destroyed in the mid-19th century and restored in 1884 and 1920. It remains a parish church today.,36.54111111,-121.9186111
California,Carrizo Plain Archeological District,Historically important and environmentally sensitive grassland area.,35.19138889,-119.7261111
California,Jose Castro House,Historic adobe home built by José Castro; Commandant General of Northern California. It is part of the San Juan Bautista Historic District.,36.84277778,-121.5347222
California,Chicano Park,A community-run park known for its vivid murals celebrating Mexican and Chicano culture; founded after a twelve-day occupation by Mexican-American residents to prevent the city from building a parking lot and police substation.,32.70027778,-117.1436111
California,Coloma,Town where the California Gold Rush began when James W. Marshall discovered gold at Sutter's mill on January 24; 1848. Now a ghost town; it is a significant part of the Marshall Gold Discovery State Historic Park,38.8,-120.8891667
California,Columbia Historic District,Within two years of discovering gold in this town; it was the 3rd largest city in California. The historic district is now an open museum and the best preserved California Gold Rush town.,38.03583333,-120.4011111
